event_date,added_ticker,removed_ticker
1976-08-09,MMM,
1982-08-30,AXP,
2020-08-31,AMGN,
2024-02-26,AMZN,
2015-03-19,AAPL,
1987-03-12,BA,
1991-05-06,CAT,
2008-02-19,CVX,
2009-06-08,CSCO,
1987-03-12,KO,
1991-05-06,DIS,
2013-09-23,GS,
1999-11-01,HD,
2020-08-31,HON,
1979-06-29,IBM,
1997-03-17,JNJ,
1991-05-06,JPM,
1985-10-30,MCD,
1979-06-29,MRK,
1999-11-01,MSFT,
2013-09-23,NKE,
2024-11-08,NVDA,
1932-05-26,PG,
2020-08-31,CRM,
2024-11-08,SHW,
2009-06-08,TRV,
2012-09-24,UNH,
2004-04-08,VZ,
2013-09-23,V,
1997-03-17,WMT,
